source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month
1,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,386 346,348 878,18 185,19 283,April
1,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,927 773,840 794,31 484,55 495,April
1,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",261 637,238 977,9 580,13 080,April
1,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,1 494 811,1 340 687,78 954,75 170,April
1,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,978 677,901 461,30 569,46 647,April
1,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",545 508,502 639,15 545,27 324,April
1,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,391 989,361 622,12 491,17 876,April
1,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,381 220,347 531,12 254,21 435,April
1,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,962 721,868 876,39 907,53 938,April
1,ICB,QRV,E54000027,NHS North West London Integrated Care Board,1 297 472,1 161 174,66 160,70 138,April
1,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,327 290,295 617,13 067,18 606,April
1,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,634 045,573 929,25 314,34 802,April
1,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,374 238,339 142,12 946,22 150,April
1,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",878 739,802 663,35 371,40 705,April
1,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,630 867,563 271,32 902,34 694,April
1,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,559 119,503 157,19 065,36 897,April
1,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",514 919,471 320,24 312,19 287,April
1,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,448 737,411 096,14 795,22 846,April
1,ICB,QWE,E54000031,NHS South West London Integrated Care Board,730 851,654 395,36 405,40 051,April
1,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,1 448 850,1 317 729,53 432,77 689,April
1,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,483 995,435 876,22 262,25 857,April
1,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,543 354,478 253,18 679,46 422,April
1,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,1 281 413,1 151 837,61 968,67 608,April
1,Sub ICB Location,00L,E38000130,NHS North East and North Cumbria ICB - 00L,191 249,175 607,6 545,9 097,April
1,Sub ICB Location,00N,E38000163,NHS North East and North Cumbria ICB - 00N,66 526,58 970,2 645,4 911,April
1,Sub ICB Location,00P,E38000176,NHS North East and North Cumbria ICB - 00P,135 096,120 417,7 191,7 488,April
1,Sub ICB Location,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,70 487,62 642,3 776,4 069,April
1,Sub ICB Location,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,87 092,79 095,4 650,3 347,April
1,Sub ICB Location,00T,E38000016,NHS Greater Manchester ICB - 00T,159 262,140 357,9 969,8 936,April
1,Sub ICB Location,00V,E38000024,NHS Greater Manchester ICB - 00V,92 132,84 913,3 757,3 462,April
1,Sub ICB Location,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,85 424,76 252,3 707,5 465,April
1,Sub ICB Location,00Y,E38000135,NHS Greater Manchester ICB - 00Y,104 280,93 779,5 910,4 591,April
1,Sub ICB Location,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,173 074,153 303,9 411,10 360,April
1,Sub ICB Location,01D,E38000080,NHS Greater Manchester ICB - 01D,100 721,90 785,5 541,4 395,April
1,Sub ICB Location,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,96 193,85 861,4 414,5 918,April
1,Sub ICB Location,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,55 690,49 106,2 891,3 693,April
1,Sub ICB Location,01G,E38000143,NHS Greater Manchester ICB - 01G,149 785,128 893,8 134,12 758,April
1,Sub ICB Location,01H,E38000215,NHS North East and North Cumbria ICB - 01H,189 747,170 923,7 473,11 351,April
1,Sub ICB Location,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,79 430,69 001,4 673,5 756,April
1,Sub ICB Location,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,163 489,151 247,7 104,5 138,April
1,Sub ICB Location,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,55 164,49 820,2 332,3 012,April
1,Sub ICB Location,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,66 323,61 612,1 989,2 722,April
1,Sub ICB Location,01W,E38000174,NHS Greater Manchester ICB - 01W,162 807,147 165,7 148,8 494,April
1,Sub ICB Location,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,90 893,79 373,4 131,7 389,April
1,Sub ICB Location,01Y,E38000263,NHS Greater Manchester ICB - 01Y,113 659,101 339,6 711,5 609,April
1,Sub ICB Location,02A,E38000187,NHS Greater Manchester ICB - 02A,123 010,113 958,4 598,4 454,April
1,Sub ICB Location,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,103 520,96 045,3 316,4 159,April
1,Sub ICB Location,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,55 977,50 580,1 945,3 452,April
1,Sub ICB Location,02H,E38000205,NHS Greater Manchester ICB - 02H,191 660,176 967,7 349,7 344,April
1,Sub ICB Location,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,102 610,93 664,4 086,4 860,April
1,Sub ICB Location,02P,E38000006,NHS South Yorkshire ICB - 02P,140 218,126 491,5 085,8 642,April
1,Sub ICB Location,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,87 112,81 896,2 478,2 738,April
1,Sub ICB Location,02T,E38000025,NHS West Yorkshire ICB - 02T,114 764,105 809,4 148,4 807,April
1,Sub ICB Location,02X,E38000044,NHS South Yorkshire ICB - 02X,174 132,157 515,7 789,8 828,April
1,Sub ICB Location,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,168 702,157 678,4 526,6 498,April
1,Sub ICB Location,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,130 205,116 639,6 644,6 922,April
1,Sub ICB Location,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,125 705,115 769,3 160,6 776,April
1,Sub ICB Location,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,105 374,95 453,3 052,6 869,April
1,Sub ICB Location,03L,E38000141,NHS South Yorkshire ICB - 03L,161 964,141 995,6 018,13 951,April
1,Sub ICB Location,03N,E38000146,NHS South Yorkshire ICB - 03N,325 777,291 543,13 324,20 910,April
1,Sub ICB Location,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,119 817,112 187,3 437,4 193,April
1,Sub ICB Location,03R,E38000190,NHS West Yorkshire ICB - 03R,227 818,207 227,7 548,13 043,April
1,Sub ICB Location,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",196 443,178 390,6 223,11 830,April
1,Sub ICB Location,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",218 334,195 142,10 321,12 871,April
1,Sub ICB Location,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",226 508,207 401,7 226,11 881,April
1,Sub ICB Location,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,67 170,60 881,2 623,3 666,April
1,Sub ICB Location,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,64 190,56 781,2 368,5 041,April
1,Sub ICB Location,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,106 398,96 171,3 398,6 829,April
1,Sub ICB Location,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,101 985,94 316,4 188,3 481,April
1,Sub ICB Location,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,71 868,65 810,3 409,2 649,April
1,Sub ICB Location,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,135 123,115 365,7 074,12 684,April
1,Sub ICB Location,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,559 119,503 157,19 065,36 897,April
1,Sub ICB Location,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,282 035,254 501,11 019,16 515,April
1,Sub ICB Location,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,245 501,229 447,5 246,10 808,April
1,Sub ICB Location,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,274 261,247 774,10 715,15 772,April
1,Sub ICB Location,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,177 401,161 640,5 634,10 127,April
1,Sub ICB Location,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,187 338,171 010,6 846,9 482,April
1,Sub ICB Location,07G,E38000185,NHS Mid and South Essex ICB - 07G,98 319,88 731,2 723,6 865,April
1,Sub ICB Location,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,142 585,130 600,5 398,6 587,April
1,Sub ICB Location,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,157 897,148 378,3 618,5 901,April
1,Sub ICB Location,09D,E38000021,NHS Sussex ICB - 09D,137 933,124 720,5 678,7 535,April
1,Sub ICB Location,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",376 346,344 364,16 159,15 823,April
1,Sub ICB Location,10R,E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,102 210,87 712,3 685,10 813,April
1,Sub ICB Location,11J,E38000045,NHS Dorset ICB - 11J,448 737,411 096,14 795,22 846,April
1,Sub ICB Location,11M,E38000062,NHS Gloucestershire ICB - 11M,381 220,347 531,12 254,21 435,April
1,Sub ICB Location,11N,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,374 238,339 142,12 946,22 150,April
1,Sub ICB Location,11X,E38000150,NHS Somerset ICB - 11X,327 290,295 617,13 067,18 606,April
1,Sub ICB Location,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,199 254,179 420,9 478,10 356,April
1,Sub ICB Location,13T,E38000212,NHS North East and North Cumbria ICB - 13T,266 560,243 356,12 650,10 554,April
1,Sub ICB Location,14L,E38000217,NHS Greater Manchester ICB - 14L,297 495,262 531,19 837,15 127,April
1,Sub ICB Location,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",252 830,231 400,9 299,12 131,April
1,Sub ICB Location,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",249 563,226 899,9 913,12 751,April
1,Sub ICB Location,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",514 919,471 320,24 312,19 287,April
1,Sub ICB Location,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,752 601,669 540,44 670,38 391,April
1,Sub ICB Location,15F,E38000225,NHS West Yorkshire ICB - 15F,422 070,383 345,18 805,19 920,April
1,Sub ICB Location,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,578 772,528 087,18 655,32 030,April
1,Sub ICB Location,15N,E38000230,NHS Devon ICB - 15N,759 664,689 534,24 211,45 919,April
1,Sub ICB Location,16C,E38000247,NHS North East and North Cumbria ICB - 16C,369 167,332 905,14 954,21 308,April
1,Sub ICB Location,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,471 533,433 812,16 912,20 809,April
1,Sub ICB Location,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,612 444,554 179,21 662,36 603,April
1,Sub ICB Location,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,372 335,336 269,16 440,19 626,April
1,Sub ICB Location,36J,E38000232,NHS West Yorkshire ICB - 36J,413 277,374 897,14 112,24 268,April
1,Sub ICB Location,36L,E38000245,NHS South West London ICB - 36L,730 851,654 395,36 405,40 051,April
1,Sub ICB Location,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,328 874,303 735,9 750,15 389,April
1,Sub ICB Location,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,546 933,492 033,22 836,32 064,April
1,Sub ICB Location,70F,E38000248,NHS Sussex ICB - 70F,481 251,444 509,13 108,23 634,April
1,Sub ICB Location,71E,E38000238,NHS Lincolnshire ICB - 71E,523 897,483 707,14 793,25 397,April
1,Sub ICB Location,72Q,E38000244,NHS South East London ICB - 72Q,743 642,656 133,46 418,41 091,April
1,Sub ICB Location,78H,E38000262,NHS Northamptonshire ICB - 78H,391 989,361 622,12 491,17 876,April
1,Sub ICB Location,84H,E38000234,NHS North East and North Cumbria ICB - 84H,365 721,333 932,12 650,19 139,April
1,Sub ICB Location,91Q,E38000237,NHS Kent and Medway ICB - 91Q,924 789,829 106,37 313,58 370,April
1,Sub ICB Location,92A,E38000246,NHS Surrey Heartlands ICB - 92A,543 354,478 253,18 679,46 422,April
1,Sub ICB Location,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",545 508,502 639,15 545,27 324,April
1,Sub ICB Location,93C,E38000240,NHS North Central London ICB - 93C,674 180,605 520,37 172,31 488,April
1,Sub ICB Location,97R,E38000235,NHS Sussex ICB - 97R,308 589,271 565,12 698,24 326,April
1,Sub ICB Location,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,258 804,231 191,16 718,10 895,April
1,Sub ICB Location,99C,E38000127,NHS North East and North Cumbria ICB - 99C,113 390,103 884,4 593,4 913,April
1,Sub ICB Location,99E,E38000007,NHS Mid and South Essex ICB - 99E,140 900,128 874,3 294,8 732,April
1,Sub ICB Location,99F,E38000030,NHS Mid and South Essex ICB - 99F,79 707,71 756,3 086,4 865,April
1,Sub ICB Location,99G,E38000168,NHS Mid and South Essex ICB - 99G,74 664,68 364,2 863,3 437,April
1,Sub ICB Location,A3A8R,E38000255,NHS North East London ICB - A3A8R,995 766,881 622,62 251,51 893,April
1,Sub ICB Location,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,483 995,435 876,22 262,25 857,April
1,Sub ICB Location,D2P2L,E38000259,NHS Black Country ICB - D2P2L,630 867,563 271,32 902,34 694,April
1,Sub ICB Location,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,386 346,348 878,18 185,19 283,April
1,Sub ICB Location,D9Y0V,E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,860 511,781 164,36 222,43 125,April
1,Sub ICB Location,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",476 486,428 144,20 294,28 048,April
1,Sub ICB Location,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",261 637,238 977,9 580,13 080,April
1,Sub ICB Location,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,1 297 472,1 161 174,66 160,70 138,April
1,Sub ICB Location,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,270 921,246 451,8 819,15 651,April
2,National,ENG,ENG,England,27 512 604,24 831 738,1 158 233,1 522 633,August
2,Region,Y56,E40000003,London,4 115 673,3 668 560,233 466,213 647,August
2,Region,Y58,E40000006,South West,2 971 637,2 712 972,100 681,157 984,August
2,Region,Y59,E40000005,South East,4 205 965,3 782 469,166 552,256 944,August
2,Region,Y60,E40000011,Midlands,5 375 009,4 852 549,222 281,300 179,August
2,Region,Y61,E40000007,East of England,3 149 330,2 859 601,105 226,184 503,August
2,Region,Y62,E40000010,North West,3 223 940,2 892 804,167 234,163 902,August
2,Region,Y63,E40000012,North East and Yorkshire,4 471 050,4 062 783,162 793,245 474,August
2,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,770 515,695 107,36 910,38 498,August
2,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,727 577,652 675,28 822,46 080,August
2,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,411 413,377 929,15 510,17 974,August
2,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,517 255,471 560,15 833,29 862,August
2,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",453 181,408 071,18 893,26 217,August
2,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,691 950,613 844,41 759,36 347,August
2,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,1 519 047,1 378 338,59 039,81 670,August
2,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,536 107,488 677,16 687,30 743,August
2,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,501 280,461 502,14 407,25 371,August
2,ICB,QJK,E54000037,NHS Devon Integrated Care Board,697 981,638 400,20 977,38 604,August
2,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,425 384,387 850,13 126,24 408,August
2,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",599 580,542 546,22 397,34 637,August
2,ICB,QKK,E54000030,NHS South East London Integrated Care Board,676 492,597 797,40 600,38 095,August
2,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,825 567,735 103,33 902,56 562,August
2,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,630 635,571 258,21 791,37 586,August
2,ICB,QMF,E54000029,NHS North East London Integrated Care Board,944 276,831 855,61 715,50 706,August
2,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,624 880,561 934,33 560,29 386,August
2,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,556 870,503 123,18 067,35 680,August
2,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,485 982,438 226,19 721,28 035,August
2,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,352 743,317 748,17 208,17 787,August
2,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,865 189,787 836,28 358,48 995,August
2,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",238 345,217 799,9 076,11 470,August
2,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,1 281 626,1 142 471,72 855,66 300,August
2,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,882 367,810 627,25 934,45 806,August
2,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",482 977,444 366,14 190,24 421,August
2,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,371 562,343 082,11 822,16 658,August
2,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,347 867,318 906,10 421,18 540,August
2,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,871 018,782 939,38 215,49 864,August
2,ICB,QRV,E54000027,NHS North West London Integrated Care Board,1 207 138,1 078 001,62 499,66 638,August
2,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,257 687,234 012,10 619,13 056,August
2,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,582 260,525 846,22 272,34 142,August
2,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,342 319,310 997,11 334,19 988,August
2,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",797 595,727 972,31 757,37 866,August
2,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,594 912,527 242,30 484,37 186,August
2,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,490 109,444 087,16 235,29 787,August
2,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",446 959,404 357,20 974,21 628,August
2,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,395 847,361 934,12 166,21 747,August
2,ICB,QWE,E54000031,NHS South West London Integrated Care Board,662 887,598 973,35 092,28 822,August
2,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,1 342 059,1 221 143,48 998,71 918,August
2,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,437 514,389 508,19 427,28 579,August
2,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,493 853,430 871,17 112,45 870,August
2,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,1 171 799,1 055 226,57 469,59 104,August
2,Sub ICB Location,00L,E38000130,NHS North East and North Cumbria ICB - 00L,171 115,156 873,5 718,8 524,August
2,Sub ICB Location,00N,E38000163,NHS North East and North Cumbria ICB - 00N,57 985,52 378,2 213,3 394,August
2,Sub ICB Location,00P,E38000176,NHS North East and North Cumbria ICB - 00P,117 337,105 373,5 964,6 000,August
2,Sub ICB Location,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,66 291,59 192,3 606,3 493,August
2,Sub ICB Location,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,81 375,72 451,4 707,4 217,August
2,Sub ICB Location,00T,E38000016,NHS Greater Manchester ICB - 00T,143 776,127 728,9 060,6 988,August
2,Sub ICB Location,00V,E38000024,NHS Greater Manchester ICB - 00V,73 064,67 131,3 388,2 545,August
2,Sub ICB Location,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,79 640,70 879,3 506,5 255,August
2,Sub ICB Location,00Y,E38000135,NHS Greater Manchester ICB - 00Y,102 717,91 533,6 240,4 944,August
2,Sub ICB Location,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,164 161,146 267,8 771,9 123,August
2,Sub ICB Location,01D,E38000080,NHS Greater Manchester ICB - 01D,90 096,81 699,5 240,3 157,August
2,Sub ICB Location,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,87 173,77 566,4 250,5 357,August
2,Sub ICB Location,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,50 952,44 866,2 846,3 240,August
2,Sub ICB Location,01G,E38000143,NHS Greater Manchester ICB - 01G,137 012,116 115,7 572,13 325,August
2,Sub ICB Location,01H,E38000215,NHS North East and North Cumbria ICB - 01H,172 516,156 512,6 376,9 628,August
2,Sub ICB Location,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,75 482,66 466,4 423,4 593,August
2,Sub ICB Location,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,143 998,133 489,6 264,4 245,August
2,Sub ICB Location,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,50 308,45 549,1 959,2 800,August
2,Sub ICB Location,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,63 739,59 090,1 865,2 784,August
2,Sub ICB Location,01W,E38000174,NHS Greater Manchester ICB - 01W,142 173,128 737,6 157,7 279,August
2,Sub ICB Location,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,81 513,71 350,3 649,6 514,August
2,Sub ICB Location,01Y,E38000263,NHS Greater Manchester ICB - 01Y,100 433,89 008,6 359,5 066,August
2,Sub ICB Location,02A,E38000187,NHS Greater Manchester ICB - 02A,92 773,84 273,4 327,4 173,August
2,Sub ICB Location,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,92 974,86 043,2 807,4 124,August
2,Sub ICB Location,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,52 757,47 892,2 120,2 745,August
2,Sub ICB Location,02H,E38000205,NHS Greater Manchester ICB - 02H,136 167,123 682,6 418,6 067,August
2,Sub ICB Location,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,95 120,87 371,3 686,4 063,August
2,Sub ICB Location,02P,E38000006,NHS South Yorkshire ICB - 02P,125 894,113 107,4 467,8 320,August
2,Sub ICB Location,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,78 055,73 028,2 261,2 766,August
2,Sub ICB Location,02T,E38000025,NHS West Yorkshire ICB - 02T,105 534,96 884,3 806,4 844,August
2,Sub ICB Location,02X,E38000044,NHS South Yorkshire ICB - 02X,159 094,142 867,7 397,8 830,August
2,Sub ICB Location,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,153 280,141 723,4 013,7 544,August
2,Sub ICB Location,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,126 177,113 303,5 825,7 049,August
2,Sub ICB Location,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,104 346,94 764,2 755,6 827,August
2,Sub ICB Location,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,96 213,86 999,2 749,6 465,August
2,Sub ICB Location,03L,E38000141,NHS South Yorkshire ICB - 03L,148 709,131 454,5 258,11 997,August
2,Sub ICB Location,03N,E38000146,NHS South Yorkshire ICB - 03N,293 880,265 247,11 700,16 933,August
2,Sub ICB Location,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,104 498,98 111,2 524,3 863,August
2,Sub ICB Location,03R,E38000190,NHS West Yorkshire ICB - 03R,208 782,188 377,7 015,13 390,August
