source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month,Year,CCG_Name,ICB_Code,ICB_Name
1,CCG,07H,E38000197,NHS West Essex CCG,110 398,103 398,3 995,3 005,April,2021,NA,NA,NA
1,CCG,07K,E38000204,NHS West Suffolk CCG,108 969,99 838,2 088,7 043,April,2021,NA,NA,NA
1,CCG,09D,E38000021,NHS Brighton and Hove CCG,116 715,109 510,3 306,3 899,April,2021,NA,NA,NA
1,CCG,10Q,E38000136,NHS Oxfordshire CCG,316 969,288 271,17 616,11 082,April,2021,NA,NA,NA
1,CCG,10R,E38000137,NHS Portsmouth CCG,77 915,72 085,2 636,3 194,April,2021,NA,NA,NA
1,CCG,11J,E38000045,NHS Dorset CCG,350 111,322 742,9 845,17 524,April,2021,NHS Dorset CCG,QVV,NHS Dorset Integrated Care Board
1,CCG,11M,E38000062,NHS Gloucestershire CCG,291 160,277 285,6 970,6 905,April,2021,NHS Gloucestershire CCG,QR1,NHS Gloucestershire Integrated Care Board
1,CCG,11N,E38000089,NHS Kernow CCG,309 556,285 273,8 625,15 658,April,2021,NHS Kernow CCG,QT6,NHS Cornwall and the Isles of Scilly Integrated Care Board
1,CCG,11X,E38000150,NHS Somerset CCG,247 901,226 602,10 561,10 738,April,2021,NHS Somerset CCG,QSL,NHS Somerset Integrated Care Board
1,CCG,12F,E38000208,NHS Wirral CCG,158 250,143 527,6 735,7 988,April,2021,NA,NA,NA
1,CCG,13T,E38000212,NHS Newcastle Gateshead CCG,215 536,195 433,8 963,11 140,April,2021,NHS Newcastle Gateshead CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,14L,E38000217,NHS Manchester CCG,234 583,211 249,13 847,9 487,April,2021,NHS Manchester CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,14Y,E38000223,NHS Buckinghamshire CCG,204 304,190 960,5 925,7 419,April,2021,NA,NA,NA
1,CCG,15A,E38000221,NHS Berkshire West CCG,205 936,188 739,8 198,8 999,April,2021,NA,NA,NA
1,CCG,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",398 628,370 390,15 903,12 335,April,2021,NA,NA,NA
1,CCG,15E,E38000220,NHS Birmingham and Solihull CCG,506 161,462 751,23 849,19 561,April,2021,NHS Birmingham and Solihull CCG,QHL,NHS Birmingham and Solihull Integrated Care Board
1,CCG,15F,E38000225,NHS Leeds CCG,376 645,351 854,12 316,12 475,April,2021,NHS Leeds CCG,QWO,NHS West Yorkshire Integrated Care Board
1,CCG,15M,E38000229,NHS Derby and Derbyshire CCG,471 369,436 457,12 404,22 508,April,2021,NHS Derby and Derbyshire CCG,QJ2,NHS Derby and Derbyshire Integrated Care Board
1,CCG,15N,E38000230,NHS Devon CCG,612 585,567 254,24 098,21 233,April,2021,NHS Devon CCG,QJK,NHS Devon Integrated Care Board
1,CCG,16C,E38000247,NHS Tees Valley CCG,316 647,291 220,10 583,14 844,April,2021,NHS Tees Valley CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,18C,E38000236,NHS Herefordshire CCG,361 874,338 585,13 780,9 509,April,2021,NA,NA,NA
1,CCG,26A,E38000239,NHS Norfolk and Waveney CCG,500 433,469 632,15 751,15 050,April,2021,NHS Norfolk and Waveney CCG,QMM,NHS Norfolk and Waveney Integrated Care Board
1,CCG,27D,E38000233,NHS Cheshire CCG,310 489,279 517,14 108,16 864,April,2021,NHS Cheshire CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,36J,E38000232,NHS Bradford District and Craven CCG,329 872,306 894,8 173,14 805,April,2021,NHS Bradford District and Craven CCG,QWO,NHS West Yorkshire Integrated Care Board
1,CCG,36L,E38000245,NHS South West London CCG,585 833,537 180,26 124,22 529,April,2021,NA,NA,NA
1,CCG,42D,E38000241,NHS North Yorkshire CCG,207 968,197 144,4 869,5 955,April,2021,NA,NA,NA
1,CCG,52R,E38000243,NHS Nottingham and Nottinghamshire CCG,461 437,432 908,15 549,12 980,April,2021,NA,NA,NA
1,CCG,70F,E38000248,NHS West Sussex CCG,351 804,332 851,8 419,10 534,April,2021,NA,NA,NA
1,CCG,71E,E38000238,NHS Lincolnshire CCG,325 859,304 987,10 662,10 210,April,2021,NHS Lincolnshire CCG,QJM,NHS Lincolnshire Integrated Care Board
1,CCG,72Q,E38000244,NHS South East London CCG,659 951,592 432,32 606,34 913,April,2021,NA,NA,NA
1,CCG,78H,E38000242,NHS Northamptonshire CCG,314 013,297 999,7 699,8 315,April,2021,NHS Northamptonshire CCG,QPM,NHS Northamptonshire Integrated Care Board
1,CCG,84H,E38000234,NHS County Durham CCG,298 936,282 709,8 039,8 188,April,2021,NHS County Durham CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,91Q,E38000237,NHS Kent and Medway CCG,741 251,672 774,29 672,38 805,April,2021,NA,NA,NA
1,CCG,92A,E38000246,NHS Surrey Heartlands CCG,395 488,366 618,14 818,14 052,April,2021,NHS Surrey Heartlands CCG,QXU,NHS Surrey Heartlands Integrated Care Board
1,CCG,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",445 029,415 658,12 470,16 901,April,2021,NA,NA,NA
1,CCG,93C,E38000240,NHS North Central London CCG,542 549,501 863,21 841,18 845,April,2021,NA,NA,NA
1,CCG,97R,E38000235,NHS East Sussex CCG,241 483,219 787,12 542,9 154,April,2021,NA,NA,NA
1,CCG,99A,E38000101,NHS Liverpool CCG,221 166,200 106,11 093,9 967,April,2021,NHS Liverpool CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,99C,E38000127,NHS North Tyneside CCG,91 331,85 913,3 088,2 330,April,2021,NHS North Tyneside CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,99E,E38000007,NHS Basildon and Brentwood CCG,101 038,94 941,1 956,4 141,April,2021,NA,NA,NA
1,CCG,99F,E38000030,NHS Castle Point and Rochford CCG,72 318,67 501,2 470,2 347,April,2021,NA,NA,NA
1,CCG,99G,E38000168,NHS Southend CCG,72 511,62 084,3 924,6 503,April,2021,NA,NA,NA
1,CCG,A3A8R,E38000255,NHS North East London CCG,763 305,694 486,36 409,32 410,April,2021,NA,NA,NA
1,CCG,B2M3M,E38000251,NHS Coventry and Warwickshire CCG,384 979,353 850,17 621,13 508,April,2021,NA,NA,NA
1,CCG,D2P2L,E38000250,NHS Black Country and West Birmingham CCG,547 689,484 151,31 116,32 422,April,2021,NA,NA,NA
1,CCG,D4U1Y,E38000252,NHS Frimley CCG,291 120,272 922,10 055,8 143,April,2021,NA,NA,NA
1,CCG,D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",669 947,626 357,22 311,21 279,April,2021,NA,NA,NA
1,CCG,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",387 235,363 445,11 535,12 255,April,2021,NA,NA,NA
1,CCG,M2L0M,E38000257,NHS Shropshire and Telford and Wrekin CCG,204 339,190 836,6 995,6 508,April,2021,NA,NA,NA
1,CCG,W2U3Z,E38000256,NHS North West London CCG,914 567,845 980,33 565,35 022,April,2021,NA,NA,NA
1,CCG,X2C4Y,E38000254,NHS Kirklees CCG,193 598,183 455,4 817,5 326,April,2021,NA,NA,NA
2,CCG,00L,E38000130,NHS Northumberland CCG,146 311,138 835,4 265,3 211,August,2021,NHS Northumberland CCG,QHM,NHS North East and North Cumbria Integrated Care Board
2,CCG,00N,E38000163,NHS South Tyneside CCG,56 832,52 829,2 136,1 867,August,2021,NHS South Tyneside CCG,QHM,NHS North East and North Cumbria Integrated Care Board
2,CCG,00P,E38000176,NHS Sunderland CCG,109 882,100 831,5 849,3 202,August,2021,NHS Sunderland CCG,QHM,NHS North East and North Cumbria Integrated Care Board
2,CCG,00Q,E38000014,NHS Blackburn with Darwen CCG,69 030,64 003,3 106,1 921,August,2021,NHS Blackburn with Darwen CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,00R,E38000015,NHS Blackpool CCG,75 740,69 688,3 799,2 253,August,2021,NHS Blackpool CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,00T,E38000016,NHS Bolton CCG,131 462,119 556,7 221,4 685,August,2021,NHS Bolton CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,00V,E38000024,NHS Bury CCG,40 688,31 522,2 585,6 581,August,2021,NHS Bury CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,00X,E38000034,NHS Chorley and South Ribble CCG,66 309,61 047,3 002,2 260,August,2021,NHS Chorley and South Ribble CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,00Y,E38000135,NHS Oldham CCG,91 876,84 244,5 125,2 507,August,2021,NHS Oldham CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,01A,E38000050,NHS East Lancashire CCG,144 978,132 450,6 951,5 577,August,2021,NHS East Lancashire CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,01D,E38000080,"NHS Heywood, Middleton and Rochdale CCG",85 185,78 427,4 351,2 407,August,2021,"NHS Heywood, Middleton and Rochdale CCG",QOP,NHS Greater Manchester Integrated Care Board
2,CCG,01E,E38000227,NHS Greater Preston CCG,81 895,73 855,3 346,4 694,August,2021,NHS Greater Preston CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,01F,E38000068,NHS Halton CCG,54 631,48 964,2 776,2 891,August,2021,NHS Halton CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,01G,E38000143,NHS Salford CCG,106 494,93 119,6 538,6 837,August,2021,NHS Salford CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,01H,E38000215,NHS North Cumbria CCG,155 009,143 672,5 314,6 023,August,2021,NHS North Cumbria CCG,QHM,NHS North East and North Cumbria Integrated Care Board
2,CCG,01J,E38000091,NHS Knowsley CCG,63 466,57 783,3 404,2 279,August,2021,NHS Knowsley CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,01K,E38000228,NHS Morecambe Bay CCG,134 386,125 159,5 713,3 514,August,2021,NHS Morecambe Bay CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,01T,E38000161,NHS South Sefton CCG,49 754,46 269,2 044,1 441,August,2021,NHS South Sefton CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,01V,E38000170,NHS Southport and Formby CCG,51 565,47 795,1 793,1 977,August,2021,NHS Southport and Formby CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,01W,E38000174,NHS Stockport CCG,129 296,119 419,5 620,4 257,August,2021,NHS Stockport CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,01X,E38000172,NHS St Helens CCG,67 130,60 852,3 077,3 201,August,2021,NHS St Helens CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,01Y,E38000182,NHS Tameside and Glossop CCG,94 931,85 942,5 524,3 465,August,2021,NHS Tameside and Glossop CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,02A,E38000187,NHS Trafford CCG,65 818,58 550,3 896,3 372,August,2021,NHS Trafford CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,02E,E38000194,NHS Warrington CCG,87 043,82 032,2 301,2 710,August,2021,NHS Warrington CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,02G,E38000200,NHS West Lancashire CCG,44 685,41 278,1 748,1 659,August,2021,NHS West Lancashire CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,02H,E38000205,NHS Wigan Borough CCG,103 289,92 218,5 183,5 888,August,2021,NHS Wigan Borough CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,02M,E38000226,NHS Fylde and Wyre CCG,84 237,76 782,2 679,4 776,August,2021,NHS Fylde and Wyre CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
2,CCG,02P,E38000006,NHS Barnsley CCG,106 688,97 558,4 445,4 685,August,2021,NA,NA,NA
2,CCG,02Q,E38000008,NHS Bassetlaw CCG,50 572,47 467,1 639,1 466,August,2021,NA,NA,NA
2,CCG,02T,E38000025,NHS Calderdale CCG,95 118,89 305,3 034,2 779,August,2021,NHS Calderdale CCG,QWO,NHS West Yorkshire Integrated Care Board
2,CCG,02X,E38000044,NHS Doncaster CCG,127 335,117 888,5 556,3 891,August,2021,NA,NA,NA
2,CCG,02Y,E38000052,NHS East Riding of Yorkshire CCG,123 370,116 298,3 629,3 443,August,2021,NA,NA,NA
2,CCG,03F,E38000085,NHS Hull CCG,111 248,102 063,5 497,3 688,August,2021,NA,NA,NA
2,CCG,03H,E38000119,NHS North East Lincolnshire CCG,88 315,82 572,2 623,3 120,August,2021,NA,NA,NA
2,CCG,03K,E38000122,NHS North Lincolnshire CCG,84 499,78 421,2 071,4 007,August,2021,NA,NA,NA
2,CCG,03L,E38000141,NHS Rotherham CCG,122 789,114 027,4 478,4 284,August,2021,NA,NA,NA
2,CCG,03N,E38000146,NHS Sheffield CCG,248 546,231 402,9 285,7 859,August,2021,NA,NA,NA
2,CCG,03Q,E38000188,NHS Vale of York CCG,132 574,125 720,3 836,3 018,August,2021,NA,NA,NA
2,CCG,03R,E38000190,NHS Wakefield CCG,178 181,167 488,5 366,5 327,August,2021,NHS Wakefield CCG,QWO,NHS West Yorkshire Integrated Care Board
2,CCG,03W,E38000051,NHS East Leicestershire and Rutland CCG,156 597,147 202,5 178,4 217,August,2021,NA,NA,NA
2,CCG,04C,E38000097,NHS Leicester City CCG,174 737,161 500,6 697,6 540,August,2021,NA,NA,NA
2,CCG,04V,E38000201,NHS West Leicestershire CCG,175 701,166 989,4 786,3 926,August,2021,NA,NA,NA
2,CCG,04Y,E38000028,NHS Cannock Chase CCG,50 746,46 374,1 758,2 614,August,2021,NA,NA,NA
2,CCG,05D,E38000053,NHS East Staffordshire CCG,59 078,53 069,2 276,3 733,August,2021,NA,NA,NA
2,CCG,05G,E38000126,NHS North Staffordshire CCG,78 710,72 348,2 977,3 385,August,2021,NA,NA,NA
2,CCG,05Q,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,79 099,73 916,3 234,1 949,August,2021,NA,NA,NA
2,CCG,05V,E38000173,NHS Stafford and Surrounds CCG,59 428,55 290,2 392,1 746,August,2021,NA,NA,NA
2,CCG,05W,E38000175,NHS Stoke on Trent CCG,102 824,92 629,6 347,3 848,August,2021,NA,NA,NA
2,CCG,06H,E38000026,NHS Cambridgeshire and Peterborough CCG,417 569,392 903,12 372,12 294,August,2021,NA,NA,NA
2,CCG,06K,E38000049,NHS East and North Hertfordshire CCG,222 283,207 411,5 732,9 140,August,2021,NA,NA,NA
2,CCG,06L,E38000086,NHS Ipswich and East Suffolk CCG,173 126,164 603,3 554,4 969,August,2021,NA,NA,NA
2,CCG,06N,E38000079,NHS Herts Valley CCG,227 095,207 952,8 720,10 423,August,2021,NA,NA,NA
2,CCG,06Q,E38000106,NHS Mid Essex CCG,146 737,139 239,3 483,4 015,August,2021,NA,NA,NA
2,CCG,06T,E38000117,NHS North East Essex CCG,149 607,137 701,7 145,4 761,August,2021,NA,NA,NA
2,CCG,07G,E38000185,NHS Thurrock CCG,71 730,66 165,1 568,3 997,August,2021,NA,NA,NA
2,CCG,07H,E38000197,NHS West Essex CCG,114 209,107 955,3 222,3 032,August,2021,NA,NA,NA
2,CCG,07K,E38000204,NHS West Suffolk CCG,101 826,98 021,2 131,1 674,August,2021,NA,NA,NA
2,CCG,09D,E38000021,NHS Brighton and Hove CCG,115 111,107 211,4 158,3 742,August,2021,NA,NA,NA
2,CCG,10Q,E38000136,NHS Oxfordshire CCG,307 529,287 449,11 325,8 755,August,2021,NA,NA,NA
2,CCG,10R,E38000137,NHS Portsmouth CCG,73 304,68 722,3 036,1 546,August,2021,NA,NA,NA
2,CCG,11J,E38000045,NHS Dorset CCG,349 580,331 255,9 117,9 208,August,2021,NHS Dorset CCG,QVV,NHS Dorset Integrated Care Board
2,CCG,11M,E38000062,NHS Gloucestershire CCG,295 123,278 595,8 259,8 269,August,2021,NHS Gloucestershire CCG,QR1,NHS Gloucestershire Integrated Care Board
2,CCG,11N,E38000089,NHS Kernow CCG,303 822,283 269,9 845,10 708,August,2021,NHS Kernow CCG,QT6,NHS Cornwall and the Isles of Scilly Integrated Care Board
2,CCG,11X,E38000150,NHS Somerset CCG,208 837,191 556,9 135,8 146,August,2021,NHS Somerset CCG,QSL,NHS Somerset Integrated Care Board
2,CCG,12F,E38000208,NHS Wirral CCG,164 577,149 506,8 389,6 682,August,2021,NA,NA,NA
2,CCG,13T,E38000212,NHS Newcastle Gateshead CCG,208 422,191 490,9 534,7 398,August,2021,NHS Newcastle Gateshead CCG,QHM,NHS North East and North Cumbria Integrated Care Board
2,CCG,14L,E38000217,NHS Manchester CCG,235 961,210 602,15 385,9 974,August,2021,NHS Manchester CCG,QOP,NHS Greater Manchester Integrated Care Board
2,CCG,14Y,E38000223,NHS Buckinghamshire CCG,206 735,192 731,6 677,7 327,August,2021,NA,NA,NA
2,CCG,15A,E38000221,NHS Berkshire West CCG,211 226,194 907,7 834,8 485,August,2021,NA,NA,NA
2,CCG,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",391 478,361 171,17 786,12 521,August,2021,NA,NA,NA
2,CCG,15E,E38000220,NHS Birmingham and Solihull CCG,523 279,474 607,28 919,19 753,August,2021,NHS Birmingham and Solihull CCG,QHL,NHS Birmingham and Solihull Integrated Care Board
2,CCG,15F,E38000225,NHS Leeds CCG,368 081,344 338,13 044,10 699,August,2021,NHS Leeds CCG,QWO,NHS West Yorkshire Integrated Care Board
2,CCG,15M,E38000229,NHS Derby and Derbyshire CCG,468 413,438 118,13 467,16 828,August,2021,NHS Derby and Derbyshire CCG,QJ2,NHS Derby and Derbyshire Integrated Care Board
2,CCG,15N,E38000230,NHS Devon CCG,597 165,559 533,18 940,18 692,August,2021,NHS Devon CCG,QJK,NHS Devon Integrated Care Board
2,CCG,16C,E38000247,NHS Tees Valley CCG,299 601,278 230,11 455,9 916,August,2021,NHS Tees Valley CCG,QHM,NHS North East and North Cumbria Integrated Care Board
2,CCG,18C,E38000236,NHS Herefordshire CCG,376 579,353 749,14 657,8 173,August,2021,NA,NA,NA
2,CCG,26A,E38000239,NHS Norfolk and Waveney CCG,482 993,455 366,14 766,12 861,August,2021,NHS Norfolk and Waveney CCG,QMM,NHS Norfolk and Waveney Integrated Care Board
2,CCG,27D,E38000233,NHS Cheshire CCG,304 990,278 091,14 399,12 500,August,2021,NHS Cheshire CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
2,CCG,36J,E38000232,NHS Bradford District and Craven CCG,325 637,302 515,10 129,12 993,August,2021,NHS Bradford District and Craven CCG,QWO,NHS West Yorkshire Integrated Care Board
2,CCG,36L,E38000245,NHS South West London CCG,586 993,535 671,30 574,20 748,August,2021,NA,NA,NA
2,CCG,42D,E38000241,NHS North Yorkshire CCG,201 598,190 563,4 977,6 058,August,2021,NA,NA,NA
2,CCG,52R,E38000243,NHS Nottingham and Nottinghamshire CCG,454 315,423 209,16 240,14 866,August,2021,NA,NA,NA
2,CCG,70F,E38000248,NHS West Sussex CCG,358 881,338 907,9 620,10 354,August,2021,NA,NA,NA
2,CCG,71E,E38000238,NHS Lincolnshire CCG,332 627,310 949,10 866,10 812,August,2021,NHS Lincolnshire CCG,QJM,NHS Lincolnshire Integrated Care Board
